org:resource,Activity,time:timestamp,org:role,case:Project,case:Task,CaseID,case:OrganizationalEntity,case:Cost Type,case:RequestedAmount,case:Activity,case:RfpNumber
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,11.398154139558216,SUPERVISOR,project 147556,task 147557,request for payment 149216,organizational unit 65463,0,3.5337521414903543,activity 505,request for payment number 149217
SYSTEM,Request Payment,11.531364417786833,UNDEFINED,project 147556,task 147557,request for payment 149216,organizational unit 65463,0,3.5337521414903543,activity 505,request for payment number 149217
SYSTEM,Payment Handled,12.573676649131531,UNDEFINED,project 147556,task 147557,request for payment 149216,organizational unit 65463,0,3.5337521414903543,activity 505,request for payment number 149217
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,9.593764349207467,EMPLOYEE,project 147649,task 82614,request for payment 147886,organizational unit 65463,0,6.081368283666723,activity 505,request for payment number 147887
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,9.599608345181776,SUPERVISOR,project 147649,task 82614,request for payment 147886,organizational unit 65463,0,6.081368283666723,activity 505,request for payment number 147887
STAFF MEMBER,Request For Payment REJECTED by MISSING,11.599295803205079,MISSING,project 147649,task 82614,request for payment 147886,organizational unit 65463,0,6.081368283666723,activity 505,request for payment number 147887
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,16.404174564036555,EMPLOYEE,project 147649,task 82614,request for payment 147886,organizational unit 65463,0,6.081368283666723,activity 505,request for payment number 147887
STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,16.404176742523852,PRE_APPROVER,project 147649,task 82614,request for payment 147886,organizational unit 65463,0,6.081368283666723,activity 505,request for payment number 147887
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,16.404225494325622,SUPERVISOR,project 147649,task 82614,request for payment 147886,organizational unit 65463,0,6.081368283666723,activity 505,request for payment number 147887
SYSTEM,Request Payment,16.41090629975138,UNDEFINED,project 147649,task 82614,request for payment 147886,organizational unit 65463,0,6.081368283666723,activity 505,request for payment number 147887
SYSTEM,Payment Handled,16.42490615289777,UNDEFINED,project 147649,task 82614,request for payment 147886,organizational unit 65463,0,6.081368283666723,activity 505,request for payment number 147887
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,9.611931318535747,EMPLOYEE,project 149147,task 82614,request for payment 149145,organizational unit 65463,0,3.482802315406201,activity 505,request for payment number 149146
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,9.612065160468624,SUPERVISOR,project 149147,task 82614,request for payment 149145,organizational unit 65463,0,3.482802315406201,activity 505,request for payment number 149146
STAFF MEMBER,Request For Payment REJECTED by MISSING,11.5986535188529,MISSING,project 149147,task 82614,request for payment 149145,organizational unit 65463,0,3.482802315406201,activity 505,request for payment number 149146
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,16.40419499655849,EMPLOYEE,project 149147,task 82614,request for payment 149145,organizational unit 65463,0,3.482802315406201,activity 505,request for payment number 149146
STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,16.40419567262745,PRE_APPROVER,project 149147,task 82614,request for payment 149145,organizational unit 65463,0,3.482802315406201,activity 505,request for payment number 149146
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,16.40421760706122,SUPERVISOR,project 149147,task 82614,request for payment 149145,organizational unit 65463,0,3.482802315406201,activity 505,request for payment number 149146
SYSTEM,Request Payment,16.41089749498433,UNDEFINED,project 149147,task 82614,request for payment 149145,organizational unit 65463,0,3.482802315406201,activity 505,request for payment number 149146
SYSTEM,Payment Handled,16.42490615289777,UNDEFINED,project 149147,task 82614,request for payment 149145,organizational unit 65463,0,3.482802315406201,activity 505,request for payment number 149146
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,11.57853528705996,EMPLOYEE,project 503,task 147599,request for payment 147597,organizational unit 65458,0,3.9889758260817816,activity 505,request for payment number 147598
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,11.579040867177088,SUPERVISOR,project 503,task 147599,request for payment 147597,organizational unit 65458,0,3.9889758260817816,activity 505,request for payment number 147598
SYSTEM,Request Payment,14.145312742017635,UNDEFINED,project 503,task 147599,request for payment 147597,organizational unit 65458,0,3.9889758260817816,activity 505,request for payment number 147598
SYSTEM,Payment Handled,14.427481305093103,UNDEFINED,project 503,task 147599,request for payment 147597,organizational unit 65458,0,3.9889758260817816,activity 505,request for payment number 147598
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,11.58171431564635,EMPLOYEE,project 147582,task 147599,request for payment 149369,organizational unit 65458,0,6.065914237543499,activity 505,request for payment number 149370
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,11.581845000434827,SUPERVISOR,project 147582,task 147599,request for payment 149369,organizational unit 65458,0,6.065914237543499,activity 505,request for payment number 149370
SYSTEM,Request Payment,14.145281102614783,UNDEFINED,project 147582,task 147599,request for payment 149369,organizational unit 65458,0,6.065914237543499,activity 505,request for payment number 149370
SYSTEM,Payment Handled,14.427481305093103,UNDEFINED,project 147582,task 147599,request for payment 149369,organizational unit 65458,0,6.065914237543499,activity 505,request for payment number 149370
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,11.590793502068543,EMPLOYEE,project 147582,UNKNOWN,request for payment 148223,organizational unit 65463,0,3.456791100354226,UNKNOWN,request for payment number 148224
STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,11.590867506249813,PRE_APPROVER,project 147582,UNKNOWN,request for payment 148223,organizational unit 65463,0,3.456791100354226,UNKNOWN,request for payment number 148224
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,11.594827980589862,SUPERVISOR,project 147582,UNKNOWN,request for payment 148223,organizational unit 65463,0,3.456791100354226,UNKNOWN,request for payment number 148224
SYSTEM,Request Payment,11.597376901439677,UNDEFINED,project 147582,UNKNOWN,request for payment 148223,organizational unit 65463,0,3.456791100354226,UNKNOWN,request for payment number 148224
SYSTEM,Payment Handled,12.573676649131531,UNDEFINED,project 147582,UNKNOWN,request for payment 148223,organizational unit 65463,0,3.456791100354226,UNKNOWN,request for payment number 148224
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,11.655353415602505,EMPLOYEE,project 147546,UNKNOWN,request for payment 149830,organizational unit 65463,0,5.508594337761711,UNKNOWN,request for payment number 149831
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,12.072701240107016,SUPERVISOR,project 147546,UNKNOWN,request for payment 149830,organizational unit 65463,0,5.508594337761711,UNKNOWN,request for payment number 149831
SYSTEM,Request Payment,12.476210463640777,UNDEFINED,project 147546,UNKNOWN,request for payment 149830,organizational unit 65463,0,5.508594337761711,UNKNOWN,request for payment number 149831
SYSTEM,Payment Handled,13.36059256613658,UNDEFINED,project 147546,UNKNOWN,request for payment 149830,organizational unit 65463,0,5.508594337761711,UNKNOWN,request for payment number 149831
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,12.11111340413976,EMPLOYEE,project 503,UNKNOWN,request for payment 148629,organizational unit 65458,0,5.514781825864614,UNKNOWN,request for payment number 148630
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,12.111173881082943,SUPERVISOR,project 503,UNKNOWN,request for payment 148629,organizational unit 65458,0,5.514781825864614,UNKNOWN,request for payment number 148630
SYSTEM,Request Payment,14.145209910298059,UNDEFINED,project 503,UNKNOWN,request for payment 148629,organizational unit 65458,0,5.514781825864614,UNKNOWN,request for payment number 148630
SYSTEM,Payment Handled,14.427481305093103,UNDEFINED,project 503,UNKNOWN,request for payment 148629,organizational unit 65458,0,5.514781825864614,UNKNOWN,request for payment number 148630
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,12.463060946906884,EMPLOYEE,project 147546,UNKNOWN,request for payment 147894,organizational unit 65458,0,5.7846677581840975,UNKNOWN,request for payment number 147895
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,12.463416637181732,SUPERVISOR,project 147546,UNKNOWN,request for payment 147894,organizational unit 65458,0,5.7846677581840975,UNKNOWN,request for payment number 147895
SYSTEM,Request Payment,12.803240172238045,UNDEFINED,project 147546,UNKNOWN,request for payment 147894,organizational unit 65458,0,5.7846677581840975,UNKNOWN,request for payment number 147895
SYSTEM,Payment Handled,13.36059256613658,UNDEFINED,project 147546,UNKNOWN,request for payment 147894,organizational unit 65458,0,5.7846677581840975,UNKNOWN,request for payment number 147895
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,12.491683825162859,EMPLOYEE,project 147546,UNKNOWN,request for payment 147898,organizational unit 65458,0,4.569256201769737,UNKNOWN,request for payment number 147899
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,12.491751462805487,SUPERVISOR,project 147546,UNKNOWN,request for payment 147898,organizational unit 65458,0,4.569256201769737,UNKNOWN,request for payment number 147899
SYSTEM,Request Payment,12.80303926761615,UNDEFINED,project 147546,UNKNOWN,request for payment 147898,organizational unit 65458,0,4.569256201769737,UNKNOWN,request for payment number 147899
SYSTEM,Payment Handled,13.36059256613658,UNDEFINED,project 147546,UNKNOWN,request for payment 147898,organizational unit 65458,0,4.569256201769737,UNKNOWN,request for payment number 147899
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,12.497506421532881,EMPLOYEE,project 503,UNKNOWN,request for payment 148633,organizational unit 65463,0,6.133159430672543,UNKNOWN,request for payment number 148634
STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,12.497693201961823,PRE_APPROVER,project 503,UNKNOWN,request for payment 148633,organizational unit 65463,0,6.133159430672543,UNKNOWN,request for payment number 148634
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,13.453518646831249,SUPERVISOR,project 503,UNKNOWN,request for payment 148633,organizational unit 65463,0,6.133159430672543,UNKNOWN,request for payment number 148634
SYSTEM,Request Payment,13.675870258190354,UNDEFINED,project 503,UNKNOWN,request for payment 148633,organizational unit 65463,0,6.133159430672543,UNKNOWN,request for payment number 148634
SYSTEM,Payment Handled,14.030058068959764,UNDEFINED,project 503,UNKNOWN,request for payment 148633,organizational unit 65463,0,6.133159430672543,UNKNOWN,request for payment number 148634
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,12.540167057365423,EMPLOYEE,project 147620,UNKNOWN,request for payment 149908,organizational unit 65463,0,8.344235869385427,UNKNOWN,request for payment number 149909
STAFF MEMBER,Request For Payment APPROVED by SUPERVISOR,12.54024939238667,SUPERVISOR,project 147620,UNKNOWN,request for payment 149908,organizational unit 65463,0,8.344235869385427,UNKNOWN,request for payment number 149909
STAFF MEMBER,Request For Payment FINAL_APPROVED by DIRECTOR,13.453995347383312,DIRECTOR,project 147620,UNKNOWN,request for payment 149908,organizational unit 65463,0,8.344235869385427,UNKNOWN,request for payment number 149909
SYSTEM,Request Payment,13.478362292887308,UNDEFINED,project 147620,UNKNOWN,request for payment 149908,organizational unit 65463,0,8.344235869385427,UNKNOWN,request for payment number 149909
SYSTEM,Payment Handled,13.703094096454596,UNDEFINED,project 147620,UNKNOWN,request for payment 149908,organizational unit 65463,0,8.344235869385427,UNKNOWN,request for payment number 149909
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,12.564652274404361,EMPLOYEE,project 503,UNKNOWN,request for payment 149294,organizational unit 65458,0,3.654107707270128,UNKNOWN,request for payment number 149295
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,12.564669740951558,SUPERVISOR,project 503,UNKNOWN,request for payment 149294,organizational unit 65458,0,3.654107707270128,UNKNOWN,request for payment number 149295
SYSTEM,Request Payment,12.802860345962712,UNDEFINED,project 503,UNKNOWN,request for payment 149294,organizational unit 65458,0,3.654107707270128,UNKNOWN,request for payment number 149295
SYSTEM,Payment Handled,13.36059256613658,UNDEFINED,project 503,UNKNOWN,request for payment 149294,organizational unit 65458,0,3.654107707270128,UNKNOWN,request for payment number 149295
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,12.756295889877327,EMPLOYEE,project 147556,UNKNOWN,request for payment 149913,organizational unit 65463,0,4.723723915912733,UNKNOWN,request for payment number 149914
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,12.756330498539878,SUPERVISOR,project 147556,UNKNOWN,request for payment 149913,organizational unit 65463,0,4.723723915912733,UNKNOWN,request for payment number 149914
STAFF MEMBER,Request For Payment REJECTED by MISSING,13.316167094501747,MISSING,project 147556,UNKNOWN,request for payment 149913,organizational unit 65463,0,4.723723915912733,UNKNOWN,request for payment number 149914
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,13.317749223527484,EMPLOYEE,project 147556,UNKNOWN,request for payment 149913,organizational unit 65463,0,4.723723915912733,UNKNOWN,request for payment number 149914
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,13.317780478693843,SUPERVISOR,project 147556,UNKNOWN,request for payment 149913,organizational unit 65463,0,4.723723915912733,UNKNOWN,request for payment number 149914
SYSTEM,Request Payment,13.770155387443335,UNDEFINED,project 147556,UNKNOWN,request for payment 149913,organizational unit 65463,0,4.723723915912733,UNKNOWN,request for payment number 149914
SYSTEM,Payment Handled,14.030058068959764,UNDEFINED,project 147556,UNKNOWN,request for payment 149913,organizational unit 65463,0,4.723723915912733,UNKNOWN,request for payment number 149914
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,12.844753080576217,EMPLOYEE,project 503,UNKNOWN,request for payment 149223,organizational unit 65458,0,5.78443763206092,UNKNOWN,request for payment number 149224
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,12.844805878050398,SUPERVISOR,project 503,UNKNOWN,request for payment 149223,organizational unit 65458,0,5.78443763206092,UNKNOWN,request for payment number 149224
SYSTEM,Request Payment,13.346933111236604,UNDEFINED,project 503,UNKNOWN,request for payment 149223,organizational unit 65458,0,5.78443763206092,UNKNOWN,request for payment number 149224
SYSTEM,Payment Handled,13.703094096454596,UNDEFINED,project 503,UNKNOWN,request for payment 149223,organizational unit 65458,0,5.78443763206092,UNKNOWN,request for payment number 149224
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,12.999139818906354,EMPLOYEE,project 147551,UNKNOWN,request for payment 148883,organizational unit 65458,0,5.223166352894616,UNKNOWN,request for payment number 148884
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,12.999372806039958,SUPERVISOR,project 147551,UNKNOWN,request for payment 148883,organizational unit 65458,0,5.223166352894616,UNKNOWN,request for payment number 148884
SYSTEM,Request Payment,14.14498767137304,UNDEFINED,project 147551,UNKNOWN,request for payment 148883,organizational unit 65458,0,5.223166352894616,UNKNOWN,request for payment number 148884
SYSTEM,Payment Handled,14.427481305093103,UNDEFINED,project 147551,UNKNOWN,request for payment 148883,organizational unit 65458,0,5.223166352894616,UNKNOWN,request for payment number 148884
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,13.319228659639125,EMPLOYEE,project 503,UNKNOWN,request for payment 149158,organizational unit 65463,0,3.714093437049295,UNKNOWN,request for payment number 149159
STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,13.319243442952706,PRE_APPROVER,project 503,UNKNOWN,request for payment 149158,organizational unit 65463,0,3.714093437049295,UNKNOWN,request for payment number 149159
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,13.993710298399007,SUPERVISOR,project 503,UNKNOWN,request for payment 149158,organizational unit 65463,0,3.714093437049295,UNKNOWN,request for payment number 149159
SYSTEM,Request Payment,14.546722495355818,UNDEFINED,project 503,UNKNOWN,request for payment 149158,organizational unit 65463,0,3.714093437049295,UNKNOWN,request for payment number 149159
SYSTEM,Payment Handled,14.71113602657881,UNDEFINED,project 503,UNKNOWN,request for payment 149158,organizational unit 65463,0,3.714093437049295,UNKNOWN,request for payment number 149159
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,13.329689693187849,EMPLOYEE,project 503,task 74419,request for payment 148749,organizational unit 65463,0,8.143667410708385,activity 505,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by PRE_APPROVER,14.70879424587876,PRE_APPROVER,project 503,task 74419,request for payment 148749,organizational unit 65463,0,8.143667410708385,activity 505,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by EMPLOYEE,14.70911427469227,EMPLOYEE,project 503,task 74419,request for payment 148749,organizational unit 65463,0,8.143667410708385,activity 505,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,14.709831716409433,EMPLOYEE,project 503,task 74419,request for payment 148749,organizational unit 65463,0,8.143667410708385,activity 505,UNKNOWN
STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,14.709833351948385,PRE_APPROVER,project 503,task 74419,request for payment 148749,organizational unit 65463,0,8.143667410708385,activity 505,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,14.71051554727031,SUPERVISOR,project 503,task 74419,request for payment 148749,organizational unit 65463,0,8.143667410708385,activity 505,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by MISSING,14.776686697502072,MISSING,project 503,task 74419,request for payment 148749,organizational unit 65463,0,8.143667410708385,activity 505,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,13.335450128197676,EMPLOYEE,project 147908,UNKNOWN,request for payment 148504,organizational unit 65458,0,1.3697585972214668,UNKNOWN,request for payment number 148505
STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,13.335459825183046,PRE_APPROVER,project 147908,UNKNOWN,request for payment 148504,organizational unit 65458,0,1.3697585972214668,UNKNOWN,request for payment number 148505
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,13.993710298399007,SUPERVISOR,project 147908,UNKNOWN,request for payment 148504,organizational unit 65458,0,1.3697585972214668,UNKNOWN,request for payment number 148505
SYSTEM,Request Payment,14.143898778226339,UNDEFINED,project 147908,UNKNOWN,request for payment 148504,organizational unit 65458,0,1.3697585972214668,UNKNOWN,request for payment number 148505
SYSTEM,Payment Handled,14.427481305093103,UNDEFINED,project 147908,UNKNOWN,request for payment 148504,organizational unit 65458,0,1.3697585972214668,UNKNOWN,request for payment number 148505
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,13.339688434061541,EMPLOYEE,project 147546,UNKNOWN,request for payment 147938,organizational unit 65458,0,3.649740237378188,UNKNOWN,request for payment number 147939
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,13.339979681592622,SUPERVISOR,project 147546,UNKNOWN,request for payment 147938,organizational unit 65458,0,3.649740237378188,UNKNOWN,request for payment number 147939
SYSTEM,Request Payment,13.346873993859033,UNDEFINED,project 147546,UNKNOWN,request for payment 147938,organizational unit 65458,0,3.649740237378188,UNKNOWN,request for payment number 147939
SYSTEM,Payment Handled,13.703094096454596,UNDEFINED,project 147546,UNKNOWN,request for payment 147938,organizational unit 65458,0,3.649740237378188,UNKNOWN,request for payment number 147939
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,13.353594138901158,EMPLOYEE,project 503,task 147825,request for payment 149660,organizational unit 65463,0,3.1539616329915767,activity 505,request for payment number 149661
STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,13.353714752188127,PRE_APPROVER,project 503,task 147825,request for payment 149660,organizational unit 65463,0,3.1539616329915767,activity 505,request for payment number 149661
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,13.457119857242038,SUPERVISOR,project 503,task 147825,request for payment 149660,organizational unit 65463,0,3.1539616329915767,activity 505,request for payment number 149661
SYSTEM,Request Payment,13.592974322196639,UNDEFINED,project 503,task 147825,request for payment 149660,organizational unit 65463,0,3.1539616329915767,activity 505,request for payment number 149661
SYSTEM,Payment Handled,14.030058068959764,UNDEFINED,project 503,task 147825,request for payment 149660,organizational unit 65463,0,3.1539616329915767,activity 505,request for payment number 149661
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,13.452984242377802,EMPLOYEE,project 147556,UNKNOWN,request for payment 147746,organizational unit 65463,0,1.8910162412569078,UNKNOWN,request for payment number 147747
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,13.453340543743561,SUPERVISOR,project 147556,UNKNOWN,request for payment 147746,organizational unit 65463,0,1.8910162412569078,UNKNOWN,request for payment number 147747
SYSTEM,Request Payment,14.076755734948424,UNDEFINED,project 147556,UNKNOWN,request for payment 147746,organizational unit 65463,0,1.8910162412569078,UNKNOWN,request for payment number 147747
SYSTEM,Payment Handled,14.219914436500812,UNDEFINED,project 147556,UNKNOWN,request for payment 147746,organizational unit 65463,0,1.8910162412569078,UNKNOWN,request for payment number 147747
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,13.46048140183066,EMPLOYEE,project 147620,UNKNOWN,request for payment 149154,organizational unit 65458,0,3.9705832595584547,UNKNOWN,request for payment number 149155
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,13.460508499686009,SUPERVISOR,project 147620,UNKNOWN,request for payment 149154,organizational unit 65458,0,3.9705832595584547,UNKNOWN,request for payment number 149155
SYSTEM,Request Payment,13.696502897761253,UNDEFINED,project 147620,UNKNOWN,request for payment 149154,organizational unit 65458,0,3.9705832595584547,UNKNOWN,request for payment number 149155
SYSTEM,Payment Handled,14.030058068959764,UNDEFINED,project 147620,UNKNOWN,request for payment 149154,organizational unit 65458,0,3.9705832595584547,UNKNOWN,request for payment number 149155
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,13.46709852481478,EMPLOYEE,project 147843,UNKNOWN,request for payment 147902,organizational unit 65463,0,4.8524987539007185,UNKNOWN,request for payment number 147903
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,13.468297848409842,SUPERVISOR,project 147843,UNKNOWN,request for payment 147902,organizational unit 65463,0,4.8524987539007185,UNKNOWN,request for payment number 147903
SYSTEM,Request Payment,14.080885669893515,UNDEFINED,project 147843,UNKNOWN,request for payment 147902,organizational unit 65463,0,4.8524987539007185,UNKNOWN,request for payment number 147903
SYSTEM,Payment Handled,14.219914436500812,UNDEFINED,project 147843,UNKNOWN,request for payment 147902,organizational unit 65463,0,4.8524987539007185,UNKNOWN,request for payment number 147903
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,13.470001613009709,EMPLOYEE,project 503,UNKNOWN,request for payment 149163,organizational unit 65463,0,3.453611240480952,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,13.470185248282323,SUPERVISOR,project 503,UNKNOWN,request for payment 149163,organizational unit 65463,0,3.453611240480952,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment REJECTED by MISSING,13.590903436153077,MISSING,project 503,UNKNOWN,request for payment 149163,organizational unit 65463,0,3.453611240480952,UNKNOWN,UNKNOWN
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,13.474839719537234,EMPLOYEE,project 147531,UNKNOWN,request for payment 148147,organizational unit 65458,0,3.2326494149491363,UNKNOWN,request for payment number 148148
STAFF MEMBER,Request For Payment APPROVED by PRE_APPROVER,13.474849560721607,PRE_APPROVER,project 147531,UNKNOWN,request for payment 148147,organizational unit 65458,0,3.2326494149491363,UNKNOWN,request for payment number 148148
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,13.47507728679343,SUPERVISOR,project 147531,UNKNOWN,request for payment 148147,organizational unit 65458,0,3.2326494149491363,UNKNOWN,request for payment number 148148
SYSTEM,Request Payment,13.479038721342981,UNDEFINED,project 147531,UNKNOWN,request for payment 148147,organizational unit 65458,0,3.2326494149491363,UNKNOWN,request for payment number 148148
SYSTEM,Payment Handled,13.703094096454596,UNDEFINED,project 147531,UNKNOWN,request for payment 148147,organizational unit 65458,0,3.2326494149491363,UNKNOWN,request for payment number 148148
STAFF MEMBER,Request For Payment SUBMITTED by EMPLOYEE,13.476592733329007,EMPLOYEE,project 147908,UNKNOWN,request for payment 147906,organizational unit 65463,0,7.438337925896227,UNKNOWN,request for payment number 147907
STAFF MEMBER,Request For Payment FINAL_APPROVED by SUPERVISOR,13.476609574323357,SUPERVISOR,project 147908,UNKNOWN,request for payment 147906,organizational unit 65463,0,7.438337925896227,UNKNOWN,request for payment number 147907
