,org:group,resource country,org:resource,oranization country,org:role,concept:name,impact,product,time:timestamp,lifecycle:transition,case:concept:name
37,Org line A2,POLAND,Ewa,us,A2_2,Accepted,Medium,PROD98,2010-02-03 09:34:32+00:00,In Progress,1-351314317
38,Org line A2,POLAND,Ewa,us,A2_2,Queued,Medium,PROD98,2010-02-03 09:45:18+00:00,Awaiting Assignment,1-351314317
39,Org line A2,POLAND,Ewa,us,A2_2,Accepted,Medium,PROD98,2010-02-03 10:40:51+00:00,In Progress,1-351314317
40,Org line A2,POLAND,Ewa,us,A2_2,Accepted,Medium,PROD98,2010-02-03 10:40:58+00:00,Assigned,1-351314317
41,Org line A2,POLAND,Ewa,us,A2_2,Accepted,Medium,PROD98,2011-12-20 22:25:19+00:00,In Progress,1-351314317
42,Org line A2,POLAND,Ewa,us,A2_2,Completed,Medium,PROD98,2012-01-03 13:13:02+00:00,Closed,1-351314317
43,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2011-12-28 15:05:47+00:00,In Progress,1-354039443
44,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-30 12:29:51+00:00,Closed,1-354039443
45,Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2010-02-16 11:03:41+00:00,Wait,1-354350908
46,Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2011-09-02 00:16:31+00:00,In Progress,1-354350908
47,Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2010-02-16 11:04:37+00:00,Wait,1-354376900
48,Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Medium,PROD753,2011-09-02 00:16:15+00:00,In Progress,1-354376900
49,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2011-12-28 16:01:17+00:00,In Progress,1-357087417
50,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-30 12:30:21+00:00,Closed,1-357087417
51,Org line A2,Sweden,Tomas,cn,A2_2,Accepted,High,PROD753,2010-03-11 14:06:34+00:00,In Progress,1-359841262
52,Org line A2,Sweden,Tomas,cn,A2_2,Accepted,High,PROD753,2010-03-11 14:10:10+00:00,In Progress,1-359841262
53,Org line A2,Sweden,Tomas,cn,A2_2,Queued,High,PROD753,2010-03-11 14:12:19+00:00,Awaiting Assignment,1-359841262
54,Org line A2,POLAND,Pawel,cn,A2_2,Accepted,High,PROD753,2010-03-11 14:12:35+00:00,In Progress,1-359841262
55,Org line A2,Sweden,Tomas,cn,A2_2,Queued,High,PROD753,2010-03-11 14:12:46+00:00,Awaiting Assignment,1-359841262
56,Org line A2,POLAND,Pawel,cn,A2_2,Accepted,High,PROD753,2010-03-11 14:13:02+00:00,In Progress,1-359841262
57,Org line A2,Sweden,Tomas,cn,A2_2,Accepted,High,PROD753,2010-07-20 09:25:18+00:00,Assigned,1-359841262
58,Org line A2,Sweden,Tomas,cn,A2_2,Accepted,High,PROD753,2011-09-05 09:28:42+00:00,In Progress,1-359841262
59,Org line A2,Sweden,Tomas,se,A2_2,Queued,Medium,PROD681,2010-08-25 11:04:56+00:00,Awaiting Assignment,1-360072755
60,Org line A2,Sweden,Tomas,se,A2_2,Accepted,Medium,PROD681,2011-09-03 07:49:00+00:00,In Progress,1-360072755
61,Org line A2,Sweden,Niklas,se,A2_2,Accepted,Medium,PROD681,2011-11-14 16:10:03+00:00,Assigned,1-360072755
62,Org line A2,Sweden,Niklas,se,A2_2,Accepted,Medium,PROD681,2012-01-12 09:23:04+00:00,Wait,1-360072755
63,Org line A2,Sweden,Panigrahy,in,D_1,Accepted,Medium,PROD611,2010-03-15 14:40:16+00:00,In Progress,1-360464815
64,Org line A2,Sweden,Panigrahy,in,D_1,Accepted,Medium,PROD611,2010-04-15 16:32:45+00:00,Wait,1-360464815
65,Org line A2,Sweden,Panigrahy,in,D_1,Accepted,Medium,PROD611,2011-06-09 11:37:15+00:00,In Progress,1-360464815
66,Org line A2,Sweden,Panigrahy,in,D_1,Completed,Medium,PROD611,2012-02-21 14:57:48+00:00,Closed,1-360464815
67,Org line A2,POLAND,Pawel,cn,A2_2,Accepted,Low,PROD753,2010-03-26 14:03:21+00:00,In Progress,1-363206822
68,Org line A2,POLAND,Pawel,cn,A2_2,Accepted,Low,PROD753,2010-03-26 14:05:35+00:00,In Progress,1-363206822
69,Org line A2,Sweden,Tomas,cn,A2_2,Queued,Low,PROD753,2010-03-26 14:05:48+00:00,Awaiting Assignment,1-363206822
70,Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Low,PROD753,2011-09-05 09:28:50+00:00,In Progress,1-363206822
71,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-19 10:09:44+00:00,In Progress,1-363549934
72,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-19 10:10:41+00:00,Closed,1-363549934
73,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-19 10:14:11+00:00,In Progress,1-364528467
74,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-19 10:14:18+00:00,Closed,1-364528467
75,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-09 11:25:49+00:00,In Progress,1-366584206
76,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-09 11:25:51+00:00,Closed,1-366584206
77,Org line G4,Sweden,Jerker,se,,Accepted,High,PROD368,2010-04-13 14:37:07+00:00,In Progress,1-366698569
78,Org line G4,Sweden,Jerker,se,,Accepted,High,PROD368,2010-04-19 16:59:00+00:00,In Progress,1-366698569
79,Org line G4,Sweden,Jerker,se,,Accepted,Medium,PROD368,2010-04-13 14:50:15+00:00,In Progress,1-366726662
80,Org line G4,Sweden,Jerker,se,,Accepted,Medium,PROD368,2010-04-19 16:59:58+00:00,In Progress,1-366726662
81,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-04 16:55:26+00:00,In Progress,1-366923538
82,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-30 14:05:58+00:00,Closed,1-366923538
83,Org line B,INDIA,Srinivasan,in,E_10,Queued,Medium,PROD262,2011-08-24 21:27:17+00:00,Awaiting Assignment,1-367921041
84,Org line B,INDIA,Aneesh V,in,E_10,Accepted,Medium,PROD262,2011-08-29 04:54:38+00:00,In Progress,1-367921041
85,Org line B,INDIA,Rijin,in,E_10,Accepted,Medium,PROD262,2011-08-29 04:55:29+00:00,Assigned,1-367921041
86,Org line B,INDIA,Rijin,in,E_10,Accepted,Medium,PROD262,2011-08-29 14:48:47+00:00,In Progress,1-367921041
87,Org line B,INDIA,Aneesh V,in,E_10,Accepted,Medium,PROD262,2011-11-11 15:57:44+00:00,Assigned,1-367921041
88,Org line B,INDIA,Aneesh V,in,E_10,Accepted,Medium,PROD262,2011-11-21 08:27:41+00:00,Wait,1-367921041
89,Org line B,INDIA,Aneesh V,in,E_10,Accepted,Medium,PROD262,2012-02-29 17:54:59+00:00,In Progress,1-367921041
90,Org line B,INDIA,Aneesh V,in,E_10,Completed,Medium,PROD262,2012-02-29 17:56:23+00:00,Closed,1-367921041
91,Org line C,France,Celine,fr,V3_3,Accepted,Major,PROD793,2010-04-29 09:23:20+00:00,In Progress,1-370436092
92,Org line C,France,Celine,fr,V3_3,Queued,Major,PROD793,2010-04-29 09:23:56+00:00,Awaiting Assignment,1-370436092
93,Org line C,France,Celine,fr,V3_3,Accepted,Major,PROD793,2010-05-04 14:28:29+00:00,In Progress,1-370436092
94,Org line C,France,Celine,fr,V3_3,Accepted,Major,PROD793,2010-11-09 18:47:12+00:00,In Progress,1-370436092
95,Org line C,Sweden,Tomas,se,C_6,Accepted,Low,PROD660,2010-10-19 14:43:59+00:00,Assigned,1-372029512
96,Org line C,Sweden,Tomas,se,C_6,Accepted,Low,PROD660,2011-10-20 14:21:34+00:00,Wait,1-372029512
97,Org line C,Sweden,Tomas,se,C_6,Completed,Low,PROD660,2012-01-30 13:18:55+00:00,Closed,1-372029512
98,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-30 13:58:10+00:00,In Progress,1-372978779
99,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-30 14:38:43+00:00,Closed,1-372978779
100,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-02-03 07:48:56+00:00,In Progress,1-373110819
101,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-02-03 07:50:31+00:00,Closed,1-373110819
102,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-02-03 07:51:00+00:00,In Progress,1-373268674
103,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-02-03 07:52:14+00:00,Closed,1-373268674
104,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-30 12:59:22+00:00,In Progress,1-373413519
105,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-30 13:00:09+00:00,Closed,1-373413519
106,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-02-03 07:54:21+00:00,In Progress,1-373413971
107,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-02-04 08:48:35+00:00,Closed,1-373413971
108,Org line C,Sweden,Anna,in,E_7,Accepted,Low,PROD660,2011-11-01 17:30:00+00:00,Assigned,1-374832944
109,Org line C,Sweden,Anna,in,E_7,Accepted,Low,PROD660,2012-02-01 13:57:19+00:00,In Progress,1-374832944
110,Org line C,Sweden,Anna,in,E_7,Completed,Low,PROD660,2012-02-01 13:58:08+00:00,Closed,1-374832944
111,Org line C,0,Sumesh,se,E_10,Accepted,Medium,PROD698,2010-05-25 12:42:48+00:00,In Progress,1-375644051
112,Org line C,0,Sumesh,se,E_10,Accepted,Medium,PROD698,2010-05-25 12:49:29+00:00,Wait,1-375644051
113,Org line C,0,Sumesh,se,E_10,Accepted,Medium,PROD698,2011-06-29 16:13:19+00:00,In Progress,1-375644051
114,Org line C,Sweden,Prasad,se,E_10,Queued,Medium,PROD698,2011-11-23 12:47:29+00:00,Awaiting Assignment,1-375644051
115,Org line C,Sweden,Peter,se,E_7,Accepted,High,PROD153,2010-06-22 11:37:32+00:00,In Progress,1-378050311
116,Org line C,Sweden,Peter,se,E_7,Accepted,High,PROD153,2010-07-09 11:03:29+00:00,In Progress,1-378050311
117,Org line C,Sweden,Peter,se,E_7,Accepted,High,PROD153,2010-07-09 11:05:10+00:00,In Progress,1-378050311
118,Org line C,Sweden,Peter,se,E_7,Accepted,High,PROD153,2010-11-08 13:35:26+00:00,In Progress,1-378050311
119,Org line F,Sweden,Craig,se,,Queued,High,PROD153,2011-11-30 13:59:57+00:00,Awaiting Assignment,1-378050311
120,Org line F,Sweden,Stefan,se,,Accepted,High,PROD153,2012-02-27 08:12:23+00:00,In Progress,1-378050311
121,Org line F,Sweden,Stefan,se,,Completed,High,PROD153,2012-02-27 08:13:44+00:00,Closed,1-378050311
122,Org line C,Sweden,Anna,in,E_7,Accepted,Medium,PROD660,2011-11-01 17:29:39+00:00,Assigned,1-378744625
123,Org line C,Sweden,Anna,in,E_7,Accepted,Medium,PROD660,2012-02-01 13:59:45+00:00,In Progress,1-378744625
124,Org line C,Sweden,Anna,in,E_7,Completed,Medium,PROD660,2012-02-01 13:59:47+00:00,Closed,1-378744625
125,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-02-04 09:20:39+00:00,In Progress,1-380392616
126,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-02-04 10:19:57+00:00,Closed,1-380392616
127,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-02-04 10:20:08+00:00,In Progress,1-380527184
128,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-02-04 10:31:43+00:00,Closed,1-380527184
129,Org line G4,Sweden,David,se,,Accepted,High,PROD551,2010-06-16 16:09:45+00:00,In Progress,1-380632889
130,Org line G4,Sweden,David,se,,Queued,High,PROD551,2010-08-16 12:24:39+00:00,Awaiting Assignment,1-380632889
131,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2011-12-30 11:09:26+00:00,In Progress,1-380654568
132,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-30 12:31:24+00:00,Closed,1-380654568
133,Org line A2,Sweden,Tomas,se,A2_2,Accepted,Medium,PROD681,2010-06-23 14:13:51+00:00,In Progress,1-382209384
134,Org line A2,Sweden,Tomas,se,A2_2,Accepted,Medium,PROD681,2011-09-03 07:46:51+00:00,In Progress,1-382209384
135,Org line A2,Sweden,Niklas,se,A2_2,Accepted,Medium,PROD681,2011-11-14 16:10:10+00:00,Assigned,1-382209384
136,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-02-04 10:27:58+00:00,In Progress,1-382442048
137,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-02-04 10:30:03+00:00,Closed,1-382442048
138,Org line C,Sweden,Jonas,se,C_6,Accepted,Medium,PROD660,2011-03-10 16:02:06+00:00,Assigned,1-384097130
139,Org line C,Sweden,Jonas,se,C_6,Accepted,Medium,PROD660,2011-03-29 10:44:20+00:00,In Progress,1-384097130
140,Org line C,Sweden,Jonas,se,C_6,Accepted,Medium,PROD660,2011-04-13 15:23:07+00:00,Wait,1-384097130
141,Org line A2,POLAND,Ewa,us,A2_2,Accepted,Medium,PROD98,2012-02-04 10:31:58+00:00,In Progress,1-384757914
142,Org line A2,POLAND,Ewa,us,A2_2,Completed,Medium,PROD98,2012-02-04 10:37:38+00:00,Closed,1-384757914
143,Org line G4,Sweden,Joakim,se,,Accepted,High,PROD374,2010-07-08 04:50:41+00:00,In Progress,1-385201933
144,Org line G4,Sweden,Joakim,se,,Queued,High,PROD374,2010-07-08 05:04:25+00:00,Awaiting Assignment,1-385201933
145,Org line G4,Sweden,Per,se,,Accepted,High,PROD374,2010-09-07 13:57:19+00:00,Assigned,1-385201933
146,Org line G4,Sweden,Per,se,,Accepted,High,PROD374,2010-09-23 10:26:35+00:00,In Progress,1-385201933
147,Org line G4,Sweden,Per,se,,Accepted,High,PROD374,2010-12-05 13:27:07+00:00,Wait,1-385201933
148,Org line G4,Sweden,Per,se,,Completed,High,PROD374,2012-01-26 11:39:55+00:00,Closed,1-385201933
149,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-02-04 10:38:18+00:00,In Progress,1-385311756
150,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-02-04 10:40:10+00:00,Closed,1-385311756
151,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-30 15:48:15+00:00,In Progress,1-388644366
152,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-30 15:48:48+00:00,Closed,1-388644366
153,Org line C,USA,Stephen,se,C_6,Accepted,Low,PROD424,2010-08-09 17:21:55+00:00,In Progress,1-390250582
154,Org line C,USA,Stephen,se,C_6,Accepted,Low,PROD424,2010-08-12 15:09:54+00:00,Wait,1-390250582
155,Org line C,USA,Stephen,se,C_6,Accepted,Low,PROD424,2010-08-18 11:28:48+00:00,Assigned,1-390250582
156,Org line C,USA,Stephen,se,C_6,Accepted,Low,PROD424,2010-08-18 15:42:02+00:00,In Progress,1-390250582
157,Org line G4,Sweden,Christer,se,,Accepted,Low,PROD412,2010-08-11 10:39:44+00:00,In Progress,1-390722958
158,Org line G4,Sweden,Christer,se,,Accepted,Low,PROD412,2012-01-16 14:43:19+00:00,Assigned,1-390722958
159,Org line G4,Sweden,Christer,se,,Accepted,Low,PROD412,2012-03-23 13:53:11+00:00,In Progress,1-390722958
160,Org line G4,Sweden,Christer,se,,Completed,Low,PROD412,2012-03-23 13:54:08+00:00,Closed,1-390722958
161,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-04 16:58:37+00:00,In Progress,1-392812598
162,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-04 16:59:08+00:00,Closed,1-392812598
163,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-31 09:01:21+00:00,In Progress,1-397446945
164,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-31 09:02:46+00:00,Closed,1-397446945
165,Org line G4,Sweden,Ing-Marie,se,,Queued,Medium,PROD821,2010-09-06 12:04:31+00:00,Awaiting Assignment,1-399013423
166,Org line G4,Sweden,David,se,,Accepted,Medium,PROD368,2010-09-07 15:19:41+00:00,In Progress,1-399628501
167,Org line G4,Sweden,David,se,,Accepted,Medium,PROD368,2010-12-02 11:45:01+00:00,Assigned,1-399628501
168,Org line A2,Sweden,Tomas,cn,A2_2,Accepted,Low,PROD753,2010-09-16 16:39:32+00:00,In Progress,1-402328919
169,Org line A2,Sweden,Tomas,cn,A2_2,Completed,Low,PROD753,2012-05-29 10:32:02+00:00,Closed,1-402328919
170,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-31 09:54:38+00:00,In Progress,1-403006315
171,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-01-31 09:59:04+00:00,Closed,1-403006315
172,Org line G4,Sweden,Per,se,,Accepted,Low,PROD304,2010-09-23 16:32:09+00:00,In Progress,1-404005175
173,Org line G4,Sweden,Per,se,,Accepted,Low,PROD304,2010-12-05 13:28:02+00:00,Wait,1-404005175
174,Org line G4,Sweden,Per,se,,Completed,Low,PROD304,2012-01-26 12:06:11+00:00,Closed,1-404005175
175,Org line G4,Sweden,Per,se,,Accepted,Low,PROD374,2010-09-23 19:58:12+00:00,In Progress,1-404084309
176,Org line G4,Sweden,Per,se,,Accepted,Low,PROD374,2011-01-14 14:54:47+00:00,Wait,1-404084309
177,Org line G4,Sweden,Per,se,,Accepted,Low,PROD374,2012-02-29 15:32:37+00:00,Wait,1-404084309
178,Org line G4,Sweden,Per,se,,Completed,Low,PROD374,2012-02-29 15:32:38+00:00,Closed,1-404084309
179,Org line B,France,Nicolas,in,E_10,Accepted,Medium,PROD424,2010-09-29 09:53:12+00:00,In Progress,1-404736991
180,Org line B,INDIA,Rijin,in,E_10,Accepted,Medium,PROD424,2010-11-16 11:09:29+00:00,In Progress,1-404736991
181,Org line B,INDIA,Rijin,in,E_10,Accepted,Medium,PROD424,2010-11-16 11:22:09+00:00,In Progress,1-404736991
182,Org line B,INDIA,Rijin,in,E_10,Accepted,Medium,PROD424,2010-11-19 17:26:11+00:00,Wait,1-404736991
183,Org line B,INDIA,Rijin,in,E_10,Accepted,Medium,PROD424,2011-06-30 10:22:26+00:00,In Progress,1-404736991
184,Org line B,INDIA,Rijin,in,E_10,Accepted,Medium,PROD424,2011-07-01 17:08:45+00:00,Wait,1-404736991
185,Org line B,INDIA,Rijin,in,E_10,Accepted,Medium,PROD424,2012-02-29 18:04:06+00:00,In Progress,1-404736991
186,Org line B,INDIA,Rijin,in,E_10,Completed,Medium,PROD424,2012-02-29 18:07:28+00:00,Closed,1-404736991
187,Org line C,Sweden,Kenneth,se,C_6,Accepted,Medium,PROD660,2011-06-17 11:16:19+00:00,In Progress,1-406066421
188,Org line C,Sweden,Kenneth,se,C_6,Completed,Medium,PROD660,2012-01-04 12:33:27+00:00,Closed,1-406066421
189,Org line G4,Sweden,Ing-Marie,se,,Accepted,Medium,PROD821,2010-10-08 17:16:15+00:00,In Progress,1-407876996
190,Org line G4,Sweden,Ing-Marie,se,,Queued,Medium,PROD821,2010-10-08 17:19:28+00:00,Awaiting Assignment,1-407876996
191,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-02-04 10:50:38+00:00,In Progress,1-408853759
192,Org line G3,POLAND,Ewa,us,,Completed,Medium,PROD98,2012-02-04 10:53:53+00:00,Closed,1-408853759
193,Org line A2,USA,Fredrik,us,A2_4,Accepted,Low,PROD546,2010-10-25 13:53:47+00:00,In Progress,1-413205820
194,Org line A2,USA,Fredrik,us,A2_4,Accepted,Low,PROD546,2011-10-05 23:07:51+00:00,In Progress,1-413205820
195,Org line A2,USA,Fredrik,us,A2_4,Queued,Low,PROD546,2011-10-05 23:07:59+00:00,Awaiting Assignment,1-413205820
196,Org line A2,USA,Fredrik,us,A2_4,Accepted,Low,PROD546,2011-10-06 20:05:33+00:00,In Progress,1-413205820
197,Org line A2,USA,Joakim,us,A2_4,Accepted,Low,PROD546,2011-12-06 21:31:33+00:00,Assigned,1-413205820
198,Org line A2,USA,Joakim,us,A2_4,Completed,Low,PROD546,2012-01-04 13:52:57+00:00,Closed,1-413205820
199,Org line A2,Sweden,Tomas,cn,A2_2,Accepted,High,PROD753,2010-10-26 09:14:34+00:00,In Progress,1-413665008
200,Org line A2,Sweden,Tomas,cn,A2_2,Completed,High,PROD753,2012-05-29 10:24:46+00:00,Closed,1-413665008
201,Org line C,Sweden,Jonas,se,C_6,Accepted,Medium,PROD660,2010-11-01 08:37:07+00:00,In Progress,1-415000020
202,Org line C,Sweden,Anna,se,E_7,Queued,Medium,PROD660,2010-11-01 11:00:46+00:00,Awaiting Assignment,1-415000020
203,Org line C,Sweden,Anna,se,E_7,Accepted,Medium,PROD660,2011-09-08 11:19:39+00:00,In Progress,1-415000020
204,Org line C,Sweden,Anna,se,E_7,Accepted,Medium,PROD660,2011-09-08 11:19:45+00:00,Wait,1-415000020
205,Org line C,Sweden,Anna,se,E_7,Accepted,Medium,PROD660,2012-02-01 14:00:34+00:00,In Progress,1-415000020
206,Org line C,Sweden,Anna,se,E_7,Completed,Medium,PROD660,2012-02-01 14:00:54+00:00,Closed,1-415000020
207,Org line G4,Sweden,Viktoria,se,,Accepted,Medium,PROD412,2010-11-03 08:04:02+00:00,In Progress,1-415822336
208,Org line G4,Sweden,Viktoria,se,,Accepted,Medium,PROD412,2010-11-03 09:52:09+00:00,Wait,1-415822336
209,Org line G4,Sweden,Viktoria,se,,Queued,Medium,PROD412,2010-11-24 13:41:08+00:00,Awaiting Assignment,1-415822336
210,Org line G4,Sweden,Viktoria,se,,Queued,Medium,PROD412,2010-11-24 14:08:53+00:00,Awaiting Assignment,1-415822336
211,Org line G4,Sweden,Viktoria,se,,Queued,Medium,PROD412,2010-11-25 14:37:13+00:00,Awaiting Assignment,1-415822336
212,Org line G4,Sweden,Viktoria,se,,Accepted,Medium,PROD412,2010-11-25 14:38:42+00:00,In Progress,1-415822336
213,Org line G4,Sweden,Viktoria,se,,Accepted,Medium,PROD412,2010-11-25 14:40:20+00:00,Wait,1-415822336
214,Org line G3,POLAND,Ewa,us,,Accepted,Medium,PROD98,2012-01-30 13:05:37+00:00,In Progress,1-417868043
